train_time_s,MAE_T,RMSE_T,R2_T,MAE_P,RMSE_P,R2_P,MAE_rho,RMSE_rho,R2_rho,MAE_a,RMSE_a,R2_a,MAE_avg,RMSE_avg,R2_avg,overfit_ratio,time_1point_us,time_1000points_ms,model_size_kb,method,dataset
0.0,1.3864248502636102e-15,6.277305492110744e-15,1.0,6.089560584762294,9.458712949484188,0.9999998353055959,5.9165245517820755e-05,8.505086053240295e-05,0.9999999116996949,0.0004076543727697621,0.0007475606672527395,0.9999999967521941,1.5225068510951458,2.364886390252995,0.9999999359393712,,49.424999742768705,0.1593999972101301,11.755859375,Линейная интерполяция,1d
0.0,2.0103134361778113e-05,0.00010509535917587567,0.9999999999734395,0.0001972833619353279,0.0004126491737459615,0.9999999999999997,3.508842186182886e-08,1.7815444396426378e-07,0.9999999999996125,1.3692728342869864e-05,7.154128529765315e-05,0.9999999999702552,5.777857826545943e-05,0.00014736599316586365,0.9999999999858268,,6.121000042185187,0.047229998745024204,21.392578125,Кубический сплайн,1d
0.0,7.625336676449856e-15,1.719110909190061e-14,1.0,1.2781202007702788,2.459953868101144,0.9999999888604236,1.2169261537538798e-05,2.194529599259059e-05,0.9999999941212138,8.910135285138561e-05,0.00019757175208168565,0.9999999997731458,0.31955536784616884,0.6150433462873088,0.9999999956886958,,5.959999980404973,0.059559999499469995,21.3984375,PCHIP,1d
0.007866400061175227,7.053728678470534,8.010979770557245,0.8456734050992847,6832.048324053381,7458.997227530149,0.8975821527346302,0.061538413967352504,0.0666251789684709,0.9458146906875203,4.359150823146419,5.003072852742145,0.8545308740683498,1710.8806854922414,1868.019476333104,0.8859002806474462,0.9536582196327427,178.35000006016344,0.24488000199198726,0.8740234375,LinearRegression,1d
0.002441100077703595,3.183056326000797,3.5554008912513813,0.9696018847165618,5340.712832872221,6128.693248381912,0.9308566334811904,0.05430810442843734,0.06276854436882859,0.9519062220248442,1.864776143127484,2.09158431457827,0.9745757630196235,1336.4537433614446,1533.6007505330276,0.956735125810555,0.989748965132207,487.6539995893836,0.5909300001803786,1.47265625,PolynomialFeatures(5)+LR,1d
0.20436790003441274,0.06093660657035463,0.08566101129327429,0.9999823544216087,47.505577147591396,63.06069468633391,0.9999926796431393,0.0013242960361977232,0.0018163093779206007,0.9999597297403191,0.032503971002831915,0.03801021571802445,0.9999916035086652,11.900085505300193,15.796545555680783,0.999981591828433,0.7887484726433235,745.623999973759,5.561239999951795,433.857421875,MLP,1d
3.788465199933853,0.0006770422375240753,0.00324038094366917,0.9999999747499849,0.005286446481521835,0.021877353681502315,0.9999999999991189,1.2244931208485668e-06,5.650717725320601e-06,0.9999999996102268,0.00045855089402033536,0.002196473227948712,0.9999999719618726,0.0016058160265467734,0.00682996464271138,0.9999999865803009,0.2898739794487803,567.0139996800572,33.003130002180114,838.2744140625,GPR,1d
0.347977300058119,0.42808920657250493,0.6175475055371727,0.9990829136119573,516.5068612145079,641.7159004582392,0.999241945635706,0.006213782964805036,0.0073300751988270045,0.999344124150511,0.27279384107416216,0.39412728391880336,0.999097244430792,129.30348951127985,160.6837263307235,0.9991915569572416,140.98801610489883,786.5380001021549,11.330979998456314,1648.005859375,GradientBoosting,1d
0.47947690001456067,0.27775609756099584,0.46151451368445096,0.9994877992261192,321.0897086778017,469.7680482543839,0.9995937609194455,0.0038287509385145657,0.005331339351620401,0.9996530415779443,0.1770451001835701,0.29438422327069785,0.9994963530151612,80.3870846566212,117.63231958267268,0.9995577386846676,2.915511481168869,121101.36099974625,176.0245000012219,4563.369140625,RandomForest,1d
0.036031799972988665,0.22090053123224676,0.31321115574414493,0.9997640913051246,14747.376353462601,20666.947268808468,0.21373776887108809,0.007065479031463318,0.007627756162437026,0.9992897710309748,0.1371512851881107,0.20241202094245608,0.9997618943080077,3686.935367689513,5166.867629935329,0.8031383813787988,0.7886334667384851,475.66400025971234,35.99920999840833,11.6533203125,SVR,1d
0.0028031999827362597,2.7594176486056816,3.715659527981867,0.9663951741316968,151.92644648841036,321.0208869695162,0.9998111557858852,0.002005051711590689,0.004748153960431458,0.9997704430380185,1.8236163192779884,2.4693684355872723,0.96506326421486,39.127871377001405,81.80266577176144,0.9827600092926151,3698066.261862892,22.190999588929117,12.729889998445287,16.55078125,RBF-интерполяция,2d
0.0032393000437878072,19.272935005587026,21.848902305203087,-0.16195436258311835,15048.002553667762,18521.412493289597,0.3713841737731335,0.18915684805219807,0.23617737538040884,0.43204037041677534,12.49475475660428,14.190644647851654,-0.15375817218489995,3769.9898500695012,4639.422054404508,0.12192800235547263,1.0080682535973178,178.30499971751124,0.19230999751016498,0.9365234375,LinearRegression,2d
