h,T,P,rho,a
0,288.15,101325.0,1.2249994633486807,340.2940650819523
100,287.5,100129.43827704135,1.213282240738047,339.9100358918518
200,286.84999999999997,98945.3250516082,1.2016509532180788,339.5255723358698
300,286.2,97772.57626486945,1.1901051631213782,339.1406729367623
400,285.54999999999995,96611.10828658853,1.1786444340242876,338.7553362088928
500,284.9,95460.83791390515,1.1672683307461802,338.36956065816554
600,284.25,94321.68237011615,1.15597641934873,337.9833447819581
700,283.59999999999997,93193.55930345743,1.144768267135188,337.59668706905285
800,282.95,92076.38678588724,1.1336434426496607,337.20958599956793
900,282.29999999999995,90970.08331186921,1.1226015156763793,336.8220400448878
1000,281.65,89874.56779715695,1.111642057238976,336.4340476675926
1100,281.0,88789.75957757846,1.1007646395997484,336.04560732138725
1200,280.34999999999997,87715.57840782224,1.0899688362589353,335.65671745102907
1300,279.7,86651.94446022359,1.0792542219539842,335.2673764922558
1400,279.04999999999995,85598.77832355126,1.068620372658813,334.87758287171147
1500,278.4,84556.0010017959,1.0580668655830838,334.48733500687285
1600,277.75,83523.53391295802,1.0475932791714615,334.0966313059741
1700,277.09999999999997,82501.2988878373,1.0371991931028768,333.70547016793114
1800,276.45,81489.21816882314,1.026884188289796,333.3138499822652
1900,275.79999999999995,80487.21440868435,1.0166478468774705,332.9217691290252
2000,275.15,79495.21066936146,1.0064897522432046,332.52922597871003
2100,274.5,78513.13042075837,0.9964094889956109,332.1362188921889
2200,273.84999999999997,77540.89753953519,0.9864066429738646,331.74274622062194
2300,273.2,76578.43630790222,0.9764808012469643,331.34880630537964
2400,272.54999999999995,75625.67141241378,0.966631552112981,330.95439747796064
2500,271.9,74682.52794276383,0.9568584850983162,330.55951805991003
2600,271.25,73748.93139058107,0.9471611909569463,330.1641663627354
2700,270.59999999999997,72824.80764822602,0.9375392616696799,329.76834068782284
2800,269.95,71910.08300758821,0.9279922904434044,329.372039326352
2900,269.29999999999995,71004.68415888376,0.9185198717103296,328.9752605592098
3000,268.65,70108.53818945472,0.9091216011272409,328.5780026569034
3100,268.0,69221.57258256811,0.8997970755747393,328.1802638794722
3200,267.34999999999997,68343.71521621614,0.8905458931564839,327.7820424763992
3300,266.7,67474.89436191753,0.8813676531984391,327.38333668652103
3400,266.04999999999995,66615.03868351881,0.8722619562481111,326.9841447379368
3500,265.4,65764.07723599715,0.86322840407379,326.5844648479165
3600,264.75,64921.939464263014,0.8542665996637836,326.18429522280803
3700,264.09999999999997,64088.55520196465,0.8453761472256589,325.7836340579434
3800,263.45,63263.85467029264,0.8365566521854761,325.3824795375436
3900,262.79999999999995,62447.76847678495,0.8278077211870182,324.9808298346227
4000,262.15,61640.22761413388,0.8191289620910316,324.57868311089067
4100,261.5,60841.16345899222,0.8105199839744481,324.1760375166554
4200,260.84999999999997,60050.50777078131,0.8019803971296194,323.7728911907233
4300,260.2,59268.19269049984,0.7935098130635481,323.3692422602991
4400,259.54999999999995,58494.15073953229,0.7851078444971056,322.9650888408838
4500,258.9,57728.31481845968,0.776774105364267,322.560429036173
4600,258.25,56970.618205869796,0.7685082108113288,322.1552609379521
4700,257.59999999999997,56220.9945571688,0.7603097771961324,321.7495826259919
4800,256.95,55479.377903393724,0.7521784220872876,321.34339216794234
4900,256.29999999999995,54745.702650025174,0.7441137642633892,320.9366876192249
