h,latitude_deg,season,T,P,rho,a
72000,30,winter,215.241,3.8730800000000003,6.268586e-05,294.10849134664574
74000,30,winter,210.947,2.8336099999999997,4.679558e-05,291.1600193491545
76000,30,winter,206.655,2.05999,3.472637e-05,288.18277672511937
78000,30,winter,202.365,1.487932,2.561462e-05,285.1758623779369
80000,30,winter,198.079,1.067686,1.877773e-05,282.13975200563283
0,30,summer,297.15,101400.0,1.188777,345.567531070267
1000,30,summer,292.657,90323.89,1.075182,342.94503604717767
2000,30,summer,288.165,80316.78,0.9709637,340.3029221781676
3000,30,summer,282.183,71267.16,0.8798254,336.75223440773186
4000,30,summer,276.198,63077.72,0.795598,333.1618980189661
5000,30,summer,270.215,55682.45,0.7178729,329.53366588711384
6000,30,summer,264.233,49019.130000000005,0.6462735,325.86565558309456
7000,30,summer,258.254,43029.21,0.5804369,322.157755838347
8000,30,summer,252.276,37657.69,0.520015,318.4073109700844
9000,30,summer,245.325,32844.240000000005,0.4663963,313.9901083075707
10000,30,summer,238.356,28534.620000000003,0.4170466,309.49818547965674
12000,30,summer,224.423,21267.18,0.3301264,300.31618935149
14000,30,summer,210.499,15557.910000000002,0.257477,290.85067857201227
16000,30,summer,206.65,11209.650000000001,0.1889708,288.179290425249
18000,30,summer,209.054,8078.713000000001,0.1346239,289.850666735131
20000,30,summer,214.216,5863.398999999999,0.0953534,293.40736805199697
22000,30,summer,219.374,4288.995,0.0681095,296.91876119706546
24000,30,summer,222.465,3156.591,0.0494304,299.00325065624287
26000,30,summer,225.438,2333.098,0.03605326,300.994544634284
28000,30,summer,228.408,1731.603,0.02641037,302.9707614170054
30000,30,summer,232.113,1290.625,0.01937039,305.4181169881708
32000,30,summer,236.86,967.4904,0.0142296,308.5254009186278
34000,30,summer,241.604,729.5464,0.0105193,311.5997660730829
36000,30,summer,246.345,553.2453,0.007823695,314.64217739997923
38000,30,summer,251.083,421.83820000000003,0.005852837,317.653553039471
40000,30,summer,255.818,323.3311,0.004403055,320.63476744670095
42000,30,summer,260.55,249.0793,0.003330307,323.5866542519948
44000,30,summer,265.279,192.8131,0.002532043,326.51000888456696
46000,30,summer,270.006,149.9575,0.001934788,329.40620098170587
48000,30,summer,273.35,117.1338,0.001492798,331.43975707509804
50000,30,summer,273.35,91.60719,0.001167478,331.43975707509804
52000,30,summer,271.982,71.64314,0.0009176418,330.6093596140315
54000,30,summer,266.678,55.84194,0.0007294768,327.3698335332686
56000,30,summer,261.378,43.31538,0.0005773137,324.10040828052036
58000,30,summer,256.081,33.42986,0.0004547745,320.7995433447498
60000,30,summer,250.787,25.66539,0.0003565178,317.46625804233116
62000,30,summer,243.785,19.5844,0.0002798599,313.0030380795049
64000,30,summer,235.953,14.81758,0.0002187714,307.93412138410383
66000,30,summer,228.125,11.107949999999999,0.0001696288,302.78301120604505
68000,30,summer,220.302,8.245235,0.0001303836,297.54611408721166
70000,30,summer,212.484,6.055874,9.928629e-05,292.21881786223145
72000,30,summer,207.079,4.402212,7.40581e-05,288.47826167980145
74000,30,summer,203.565,3.1813130000000003,5.444279e-05,286.02014181347437
76000,30,summer,200.054,2.286524,3.981684e-05,283.54283839800996
78000,30,summer,196.544,1.634168,2.896502e-05,281.0444142209555
80000,30,summer,193.037,1.1611339999999999,2.09546e-05,278.52574377496956
0,45,winter,272.65,101800.0,1.30071,331.0151063471273
1000,45,winter,268.651,89729.65000000001,1.163553,328.57861419179426
2000,45,winter,264.653,78944.1,1.039158,326.1245354961813
3000,45,winter,260.656,69322.56999999999,0.9265002,323.6524702133447
4000,45,winter,254.665,60722.91,0.8306561,319.9113832657412
5000,45,winter,248.674,53024.82,0.7428269,316.12602678488844
6000,45,winter,242.684,46151.85,0.6625005,312.29543440915046
7000,45,winter,236.696,40032.43,0.5891946,308.418572143767
8000,45,winter,230.71,34599.67,0.522448,304.4936726469041
9000,45,winter,224.726,29791.17,0.4618188,300.51885376661477
10000,45,winter,218.744,25548.79,0.4068852,296.49210782885945
12000,45,winter,217.859,18701.75,0.2990506,295.89172232051374
14000,45,winter,217.062,13676.740000000002,0.2195008,295.3499917054341
16000,45,winter,216.266,9992.377999999999,0.1609602,294.8079472083478
18000,45,winter,215.47,7293.541,0.1179204,294.2649042512545
20000,45,winter,215.45,5321.437,0.08604398,294.25124704918414
22000,45,winter,215.45,3883.336,0.06279089,294.25124704918414
24000,45,winter,215.45,2834.438,0.04583091,294.25124704918414
26000,45,winter,215.45,2069.257,0.03345847,294.25124704918414
28000,45,winter,215.45,1510.942,0.02943089,294.25124704918414
30000,45,winter,219.726,1106.6750000000002,0.01754596,297.1568785493615
32000,45,winter,224.281,815.9176,0.01267334,300.22116422764066
34000,45,winter,228.834,605.3611,0.00921578,303.25316269216387
36000,45,winter,233.623,451.8989,0.006738512,306.4099479889646
38000,45,winter,238.763,339.51,0.004953632,309.7623114818844
40000,45,winter,243.9,256.6753,0.003666157,313.0768553885771
42000,45,winter,249.033,195.2186,0.002730876,316.35413328831345
44000,45,winter,254.164,149.3329,0.002046823,319.5965490564627
46000,45,winter,259.291,114.86460000000001,0.001543253,322.8039082666131
48000,45,winter,262.75,88.79803,0.001177331,324.94991314047155
50000,45,winter,262.75,68.73676,0.0009113484,324.94991314047155
52000,45,winter,261.825,53.20918,0.0007079676,324.3774227886398
54000,45,winter,258.678,41.10013,0.0005535059,322.4221057985944
56000,45,winter,255.532,31.651790000000002,0.0004315095,320.455485324249
58000,45,winter,252.389,24.30079,0.0003354193,318.47861382485326
60000,45,winter,249.248,18.59846,0.0002599465,316.49066431981845
62000,45,winter,245.408,14.18451,0.0002013559,314.04321943579674
64000,45,winter,241.29,10.77094,0.0001555081,311.39721533437
66000,45,winter,237.174,8.141625,0.0001195864,308.7298357962832
68000,45,winter,233.061,6.125179,9.155594e-05,306.04117848126253
70000,45,winter,228.951,4.585691,6.977505e-05,303.3306775850408
72000,45,winter,224.843,3.4158099999999996,5.292389e-05,300.5970737558834
74000,45,winter,220.738,2.531081,3.994538e-05,297.84040551879457
76000,45,winter,216.636,1.8653369999999998,2.999616e-05,295.0600264203879
78000,45,winter,212.536,1.366971,2.240608e-05,292.2545721989649
80000,45,winter,208.438,0.9959045,1.664481e-05,289.42331367669743
0,45,summer,291.15,101350.0,1.212677,342.0609204951656
1000,45,summer,286.651,90048.05,1.094357,339.40778026468394
2000,45,summer,282.153,79859.96,0.9860133,336.73433319547325
3000,45,summer,276.158,70667.5,0.8914549,333.13777228588174
4000,45,summer,270.165,62368.01,0.8042124,329.50317637770956
5000,45,summer,264.174,54891.409999999996,0.7238575,325.82927264259115
6000,45,summer,258.184,48171.78,0.6499823,322.1140922915357
7000,45,summer,252.196,42147.14,0.5821939,318.3568214177293
8000,45,summer,246.21,36759.38,0.5201158,314.5559517510359
9000,45,summer,240.226,31954.020000000004,0.4633881,310.70988328213826
10000,45,summer,234.244,27680.12,0.4116585,306.81691626245123
12000,45,summer,222.286,20539.5,0.3218967,298.8829343090702
14000,45,summer,216.15,15026.02,0.2421737,294.72887257613564
16000,45,summer,216.15,10969.99,0.1768028,294.72887257613564
18000,45,summer,217.289,8013.558000000001,0.1284771,295.5043875203886
20000,45,summer,219.675,5872.381,0.09312628,297.1223904134456
22000,45,summer,222.059,4318.616999999999,0.06775082,298.73028466795927
24000,45,summer,224.442,3187.0069999999996,0.04946723,300.3289017001194
26000,45,summer,227.538,2360.416,0.03613868,302.3932071320386
28000,45,summer,231.504,1757.078,0.02644051,305.0171877071848
30000,45,summer,235.468,1314.769,0.01945161,307.61748020162963
32000,45,summer,240.165,989.1545000000001,0.01434802,310.6704318775766
34000,45,summer,244.916,748.4711,0.01064624,313.728260708531
36000,45,summer,249.663,569.4896,0.007946373,316.75403453563143
38000,45,summer,254.408,435.6168,0.00596502,319.74992020890323
40000,45,summer,259.15,334.9228,0.004502277,322.71612747118786
42000,45,summer,263.888,258.7762,0.003416191,325.6528502709595
44000,45,summer,268.624,200.89339999999999,0.002605307,328.5621023502254
46000,45,summer,273.357,156.6736,0.001996659,331.44400083483185
48000,45,summer,276.55,122.7015,0.001545661,333.3741291852144
50000,45,summer,276.55,96.20223,0.001211852,333.3741291852144
52000,45,summer,275.047,75.42266,0.0009552852,332.4669804467806
54000,45,summer,269.933,58.93773,0.0007606347,329.3616681227492
56000,45,summer,264.821,45.846360000000004,0.0006031006,326.2280299394888
58000,45,summer,259.713,35.49443,0.0004761061,323.0664855793618
60000,45,summer,254.609,27.34507,0.0003741485,319.8762075988147
62000,45,summer,246.985,20.93902,0.0002953411,315.0506297200499
64000,45,summer,238.357,15.88737,0.0002322001,309.49883471412295
66000,45,summer,229.734,11.93453,0.0001809747,303.8489221024159
68000,45,summer,221.117,8.869240000000001,0.0001397343,298.09598702666227
70000,45,summer,212.505,6.515194,0.0001068063,292.233257640194
72000,45,summer,205.569,4.730012,8.015719e-05,287.42455952788725
74000,45,summer,199.705,3.40189,5.934311e-05,283.29540608876806
76000,45,summer,193.844,2.423285,4.355028e-05,279.1073313705679
78000,45,summer,187.986,1.7086830000000002,3.166453e-05,274.85764199163174
80000,45,summer,182.133,1.1918279999999999,2.279625e-05,270.54491987209815
0,60,winter,256.15,101300.0,1.377695,320.8427595100129
1000,60,winter,258.146,88684.49,1.196798,322.0903867444665
2000,60,winter,254.142,77602.59,1.063744,319.5827168925128
3000,60,winter,250.137,67764.58,0.9437636,317.05458010475104
4000,60,winter,244.636,59022.22,0.8404919,313.54887464508624
5000,60,winter,239.137,51248.74,0.7465779,310.00482345505526
6000,60,winter,233.639,44355.17,0.6613581,306.42044026761664
7000,60,winter,228.143,38258.79,0.5841997,302.7949563823678
8000,60,winter,222.649,32883.18,0.5145059,299.1268773544096
9000,60,winter,217.157,28157.5,0.4517084,295.41461651279207
10000,60,winter,217.15,24064.99,0.3860682,295.40985516735896
12000,60,winter,217.15,17580.55,0.2820401,295.40985516735896
14000,60,winter,217.15,12845.91,0.2060834,295.40985516735896
16000,60,winter,216.66,9386.566,0.1509268,295.07637006714043
18000,60,winter,215.664,6851.527,0.1106746,294.3973462326045
20000,60,winter,214.669,4994.8369999999995,0.08105706,293.7174367309506
22000,60,winter,213.674,3636.671,0.05929124,293.03594969013614
24000,60,winter,212.68,2644.42,0.04331538,292.35356138757743
26000,60,winter,212.799,1921.169,0.03145098,292.4353396663953
28000,60,winter,214.189,1398.203,0.02274108,293.3888767894925
30000,60,winter,215.578,1019.889,0.0164811,294.33864219228843
32000,60,winter,216.966,745.5902,0.01197143,295.2846722693205
34000,60,winter,218.354,546.2602,0.008715197,296.22768112855357
36000,60,winter,221.089,401.24769999999995,0.006322421,298.0771125125175
38000,60,winter,225.642,296.4307,0.004576586,301.13069959139006
40000,60,winter,230.192,220.36380000000003,0.003334944,304.151649422455
42000,60,winter,234.739,164.7996,0.002445733,307.14092503897945
44000,60,winter,239.283,123.9565,0.00180466,310.09944243516463
46000,60,winter,243.825,93.75287,0.001339508,313.02871563963583
48000,60,winter,248.363,71.28723000000001,0.000999914,315.9282860628342
