method,10,25,50,100,200,500,1000
Линейная интерполяция,3.2500000001313643e-07,2.4826388917920517e-07,2.206790125971507e-07,2.090643276829125e-07,2.037037038385215e-07,2.006172840505704e-07,1.9960915699207168e-07
Кубический сплайн,3.4890607653025816e-07,5.397857407254891e-07,6.104474454012296e-07,6.324633611585159e-07,6.416523307976649e-07,6.466887441669152e-07,6.483845933725486e-07
PCHIP,3.453125000130114e-07,4.297222226190985e-07,4.927160496660045e-07,5.186695908285928e-07,5.305092593771927e-07,5.37282267211957e-07,5.394872976882821e-07
Полином 15-й степени,1.3871094272687403e-06,1.373706888650185e-06,1.3417711785308411e-06,1.2910873938588649e-06,1.2422301635295737e-06,1.4634065022449021e-06,8.168766094335009e-06
Линейная регрессия,5.791276746353045e-17,3.5191742403485e-16,3.227494091212132e-16,1.627712279312128e-16,3.058096644504592e-16,3.2429551605341363e-16,3.172329014998825e-16
Полиномиальная регрессия (5),1.816552095372259e-06,1.8160445397953463e-06,1.8131561744152832e-06,1.8071673614665003e-06,1.795839644825455e-06,1.7680599904294444e-06,1.7412234110095703e-06
"MLP (50,25)",6.1439830543828755e-06,2.658471159131423e-05,1.0907428423584936e-05,4.350895333769733e-06,1.6762255156823465e-05,8.460429540868347e-06,1.9519426205777994e-05
Случайный лес,1.4532788343260349e-05,0.0004973078530094054,0.0006014646604938981,0.0005674423976608432,0.0005463777777777888,0.0005323288439955179,0.0005260971524288157
Гауссовский процесс,,,4.77333880748729e-07,2.2697932268040684e-07,1.114335829677868e-07,4.491500863074991e-08,2.3200154016856474e-08
PINN,3.107260511114873e-07,2.5484877141934703e-07,1.6679649661455187e-07,2.506057512619009e-07,2.6908094241662184e-07,2.141325268212313e-07,2.7029648208554136e-07
