method,10,25,50,100,200,500,1000
Линейная интерполяция,7.499454939961558e-08,3.823985534218528e-07,1.4431965663712863e-06,5.619055998279719e-06,2.218586692768225e-05,0.0001375901136985628,0.0005487325996238817
Кубический сплайн,2.8400011648242184e-07,9.367734757180666e-07,2.501609186859732e-06,6.887881265310693e-06,1.9234657323025477e-05,7.556372277532434e-05,0.00021426300889271674
PCHIP,2.1700010751357616e-07,7.467728236779755e-07,1.99688806483823e-06,5.5005097322659085e-06,1.5369460166348543e-05,6.044020522799797e-05,0.00017138308718830185
Полином 15-й степени,0.0003723969436227542,0.0003724579386428922,0.0003726730197942105,0.00037330530326074143,0.0003745889263731066,0.00038296339016384904,0.0020866399475154397
Линейная регрессия,0.07326196638101452,0.07326215269543877,0.07326295626729247,0.07326641428087048,0.07328074788281329,0.07338332760554377,0.07375378659043083
Полиномиальная регрессия (5),0.06840171376551986,0.06840261236882264,0.06840619030409255,0.06842094321937765,0.06847933982698771,0.06885896686059194,0.07004011420168417
"MLP (50,25)",0.8743345624744574,0.48967315488061286,9.62627395913638,0.3039264143810045,0.10386394284302697,0.23083062257771747,0.12513573554533147
Случайный лес,0.00019782240480205538,0.0002583728339168125,0.0005495566996806015,0.0010706136133842737,0.0021480902093746783,0.005798636989694519,0.014459009280806755
Гауссовский процесс,,,0.3277635978198836,0.32776425942706383,0.32776698257717585,0.32778802669700696,0.32786697996584424
PINN,0.02100231221627197,0.021299765089242452,0.024976312147292443,0.024004942944707498,0.024261545441437157,0.026891905957487916,0.02463562515948132
