method,10,25,50,100,200,500,1000
Линейная интерполяция,141.212890625,56.8291015625,28.7041015625,14.638671875,7.607421875,3.388671875,1.9794921875
Кубический сплайн,265.9111328125,106.5361328125,53.40234375,26.837890625,13.556640625,5.587890625,2.9287109375
PCHIP,265.9169921875,106.5419921875,53.408203125,26.84375,13.5625,5.59375,2.9345703125
Полином 15-й степени,0.6494140625,0.6494140625,0.6494140625,0.6494140625,0.6494140625,0.6494140625,0.6494140625
Линейная регрессия,0.4814453125,0.4814453125,0.4814453125,0.4814453125,0.4814453125,0.4814453125,0.4814453125
Полиномиальная регрессия (5),0.6376953125,0.6376953125,0.6376953125,0.6376953125,0.6376953125,0.6376953125,0.6376953125
"MLP (50,25)",112.15234375,78.34375,84.578125,86.619140625,112.15234375,112.150390625,112.150390625
Случайный лес,16061.5849609375,8940.8974609375,4736.751953125,2401.44921875,1216.1943359375,515.22265625,270.8837890625
Гауссовский процесс,,,1290.654296875,335.9619140625,92.9931640625,22.203125,11.1064453125
PINN,38.029296875,38.029296875,38.029296875,38.029296875,38.029296875,38.029296875,38.029296875
