method,1d,2d,3d,4d
Линейная интерполяция,0.0,,,
Кубический сплайн,0.0,,,
PCHIP,0.0,,,
RBF-интерполяция,,0.0028031999827362597,0.006679399986751378,0.009752599988132715
MLP,0.20436790003441274,3.144076799915638,6.9457089000497945,1.6339287000591867
GPR,3.788465199933853,3.5891171999974176,13.176301300060004,11.646104900049977
GradientBoosting,0.347977300058119,0.3892635999363847,0.45470709999790415,0.5340665999683551
RandomForest,0.47947690001456067,0.5962811000645161,0.5504102999693714,0.5486394999315962
SVR,0.036031799972988665,0.034952899906784296,0.13332969998009503,0.20861199987120926
LinearRegression,0.007866400061175227,0.0032393000437878072,0.0033286999678239226,0.0033373000333085656
PolynomialFeatures(5)+LR,0.002441100077703595,,,
