method,1d,2d,3d,4d
Линейная интерполяция,6.089560584762294,,,
Кубический сплайн,0.0001972833619353279,,,
PCHIP,1.2781202007702788,,,
RBF-интерполяция,,151.92644648841036,222.87469272258804,62.466650171762524
MLP,47.505577147591396,191.65470704272272,331.72667885958066,335.9566740912417
GPR,0.005286446481521835,26.75500137989805,49.3858272812405,6.216389356582747
GradientBoosting,516.5068612145079,86.05757296845229,73.38223137648566,64.17148407030064
RandomForest,321.0897086778017,466.6639558041611,198.52091201444767,146.07857676767802
SVR,14747.376353462601,11254.325318725998,13592.089450920896,17996.491594209983
LinearRegression,6832.048324053381,15048.002553667762,14529.09039862753,3240.2763277017066
PolynomialFeatures(5)+LR,5340.712832872221,,,
