method,1d,2d,3d,4d
Линейная интерполяция,1.3864248502636102e-15,,,
Кубический сплайн,2.0103134361778113e-05,,,
PCHIP,7.625336676449856e-15,,,
RBF-интерполяция,,2.7594176486056816,7.876877911027656,0.43632945083247265
MLP,0.06093660657035463,0.6419546618469277,0.6678950791729252,0.44990612901070726
GPR,0.0006770422375240753,0.4967930739060527,0.5269522845255152,0.6082858139531501
GradientBoosting,0.42808920657250493,1.646724589833488,2.2273390579855374,0.38941755291281677
RandomForest,0.27775609756099584,2.786504215465675,3.067984302875416,0.35738111111102755
SVR,0.22090053123224676,2.7429231238620337,8.053187318873421,0.7026919061127187
LinearRegression,7.053728678470534,19.272935005587026,20.306823170597667,2.989626409055204
PolynomialFeatures(5)+LR,3.183056326000797,,,
