method,1d,2d,3d,4d
Линейная интерполяция,1.5225068510951458,,,
Кубический сплайн,5.777857826545943e-05,,,
PCHIP,0.31955536784616884,,,
RBF-интерполяция,,39.127871377001405,58.98817075951625,15.796087440094098
MLP,11.900085505300193,48.18176966367758,83.18739363329725,84.16609168714315
GPR,0.0016058160265467734,6.89517776435334,12.563251416550731,1.8041258340049187
GradientBoosting,129.30348951127985,22.21006225148429,19.247725169526603,16.196561303877967
RandomForest,80.3870846566212,117.82065550421628,50.8976562666706,36.65878424880109
SVR,3686.935367689513,2814.6960753610642,3401.131706993348,4499.402025903408
LinearRegression,1710.8806854922414,3769.9898500695012,3640.6930141144794,811.2953229328391
PolynomialFeatures(5)+LR,1336.4537433614446,,,
