altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,282.150,9.00,1010.200,1.247284
1000,1001,277.945,4.79,894.0617,1.120588
2000,2002,273.742,5.90,789.8345,1.005155
3000,3002,269.540,-3.61,696.4484,0.9001273
4000,4003,265.339,-7.81,612.9159,0.8047065
5000,5002,261.133,-12.02,538.3253,0.7181598
6000,6002,254.136,-19.01,471.4969,0.6463242
7000,7001,247.142,-26.01,411.4934,0.5799844
8000,8000,240.149,-33.00,357.6768,0.5188570
9000,8999,233.159,-39.99,309.6557,0.4626632
10000,9997,226.171,-46.98,266.9209,0.4111344
12000,11993,226.150,-47.00,197.4494,0.3041566
14000,13987,226.150,-47.00,146.0868,0.2250363
16000,15980,226.150,-47.00,108.1056,0.1665289
18000,17972,226.150,-47.00,80.01425,0.1232562
20000,19963,226.150,-47.00,59.23363,0.09124517
22000,21952,226.150,-47.00,43.85823,0.06756046
24000,23940,227.560,-45.59,32.49429,0.04974490
26000,25927,230.541,-42.61,24.16029,0.03650837
28000,27913,233.519,-39.63,18.03554,0.02690572
30000,29897,236.496,-36.65,13.51586,0.01990940
32000,31880,239.471,-33.68,10.16721,0.01479066
34000,33862,245.237,-27.91,7.688101,0.01092122
36000,35843,251.179,-21.97,5.853488,0.008118375
38000,37823,257.118,-16.03,4.485908,0.006077942
40000,39801,263.052,-10.10,3.459350,0.004581318
42000,41778,268.983,-4.17,2.683643,0.003475661
44000,43754,274.911,1.76,2.093759,0.002653219
46000,45728,280.834,7.68,1.642454,0.002037423
48000,47701,281.650,8.50,1.292772,0.001599006
50000,49673,281.650,8.50,1.017738,0.001258822
52000,51644,280.168,7.02,0.8011716,0.0009961963
54000,53614,275.638,2.49,0.6288803,0.0007948167
56000,55582,271.111,-2.04,0.4917392,0.0006318678
58000,57549,266.586,-6.56,0.3829753,0.0005004621
60000,59515,262.065,-11.08,0.2970419,0.0003948639
62000,61480,253.845,-19.30,0.2290874,0.0003143909
64000,63444,244.421,-28.73,0.1750061,0.0002494327
66000,65406,235.002,-38.15,0.1323071,0.0001961327
68000,67367,225.589,-47.56,0.09890623,0.0001527370
70000,69327,216.182,-56.97,0.07304009,0.0001177012
72000,71285,206.780,-66.37,0.05322648,0.00008967201
74000,73243,197.385,-75.77,0.03822869,0.00006747054
76000,75199,187.995,-85.15,0.02702313,0.00005007575
78000,77154,178.611,-94.54,0.01876990,0.00003660932
80000,79108,169.233,-103.90,0.01278648,0.00002632109
