altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,297.150,24.00,1014.000,1.188777
1000,998,292.657,19.51,903.2389,1.075182
2000,1997,288.165,15.01,803.1678,0.9709637
3000,2994,282.183,9.03,712.6716,0.8798254
4000,3992,276.198,3.05,630.7772,0.7955980
5000,4989,270.215,-2.93,556.8245,0.7178729
6000,5986,264.233,-8.92,490.1913,0.6462735
7000,6983,258.254,-14.90,430.2921,0.5804369
8000,7979,252.276,-20.87,376.5769,0.5200150
9000,8975,245.325,-27.82,328.4424,0.4663963
10000,9971,238.356,-34.79,285.3462,0.4170466
12000,11961,224.423,-48.73,212.6718,0.3301264
14000,13950,210.499,-62.65,155.5791,0.2574770
16000,15938,206.650,-66.50,112.0965,0.1889708
18000,17925,209.054,-64.10,80.78713,0.1346239
20000,19910,214.216,-58.93,58.63399,0.09535340
22000,21894,219.374,-53.78,42.88995,0.06810950
24000,23877,222.465,-50.68,31.56591,0.04943040
26000,25858,225.438,-47.71,23.33098,0.03605326
28000,27839,228.408,-44.74,17.31603,0.02641037
30000,29818,232.113,-41.04,12.90625,0.01937039
32000,31796,236.860,-36.29,9.674904,0.01422960
34000,33773,241.604,-31.55,7.295464,0.01051930
36000,35748,246.345,-26.80,5.532453,0.007823695
38000,37722,251.083,-22.07,4.218382,0.005852837
40000,39695,255.818,-17.33,3.233311,0.004403055
42000,41667,260.550,-12.60,2.490793,0.003330307
44000,43637,265.279,-7.87,1.928131,0.002532043
46000,45606,270.006,-3.14,1.499575,0.001934788
48000,47574,273.350,0.20,1.171338,0.001492798
50000,49541,273.350,0.20,0.9160719,0.001167478
52000,51507,271.982,-1.17,0.7164314,0.0009176418
54000,53471,266.678,-6.47,0.5584194,0.0007294768
56000,55434,261.378,-11.77,0.4331538,0.0005773137
58000,57396,256.081,-17.07,0.3342986,0.0004547745
60000,59357,250.787,-22.36,0.2566539,0.0003565178
62000,61316,243.785,-29.36,0.1958440,0.0002798599
64000,63274,235.953,-37.20,0.1481758,0.0002187714
66000,65231,228.125,-45.02,0.1110795,0.0001696288
68000,67187,220.302,-52.85,0.08245235,0.0001303836
70000,69142,212.484,-60.67,0.06055874,0.00009928629
72000,71095,207.079,-66.07,0.04402212,0.00007405810
74000,73047,203.565,-69.58,0.03181313,0.00005444279
76000,74998,200.054,-73.10,0.02286524,0.00003981684
78000,76948,196.544,-76.61,0.01634168,0.00002896502
80000,78896,193.037,-80.11,0.01161134,0.00002095460
