altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,272.650,-5.00,1018.000,1.300710
1000,1000,268.651,-4.50,897.2965,1.163553
2000,1999,264.653,-8.50,789.4410,1.039158
3000,2999,260.656,-12.49,693.2257,0.9265002
4000,3997,254.665,-18.48,607.2291,0.8306561
5000,4996,248.674,-24.48,530.2482,0.7428269
6000,5994,242.684,-30.47,461.5185,0.6625005
7000,6992,236.696,-36.45,400.3243,0.5891946
8000,7990,230.710,-42.44,345.9967,0.5224480
9000,8987,224.726,-48.42,297.9117,0.4618188
10000,9984,218.744,-54.41,255.4879,0.4068852
12000,11977,217.859,-55.29,187.0175,0.2990506
14000,13969,217.062,-56.09,136.7674,0.2195008
16000,15960,216.266,-56.88,99.92378,0.1609602
18000,17949,215.470,-57.68,72.93541,0.1179204
20000,19937,215.450,-57.70,53.21437,0.08604398
22000,21924,215.450,-57.70,38.83336,0.06279089
24000,23910,215.450,-57.70,28.34438,0.04583091
26000,25894,215.450,-57.70,20.69257,0.03345847
28000,27877,215.450,-57.70,15.10942,0.02943089
30000,29859,219.726,-53.42,11.06675,0.01754596
32000,31840,224.281,-48.87,8.159176,0.01267334
34000,33819,228.834,-44.32,6.053611,0.009215780
36000,35797,233.623,-39.53,4.518989,0.006738512
38000,37774,238.763,-34.39,3.395100,0.004953632
40000,39750,243.900,-29.25,2.566753,0.003666157
42000,41724,249.033,-24.12,1.952186,0.002730876
44000,43698,254.164,-18.99,1.493329,0.002046823
46000,45670,259.291,-13.86,1.148646,0.001543253
48000,47640,262.750,-10.40,0.8879803,0.001177331
50000,49610,262.750,-10.40,0.6873676,0.0009113484
52000,51578,261.825,-11.32,0.5320918,0.0007079676
54000,53545,258.678,-14.47,0.4110013,0.0005535059
56000,55511,255.532,-17.62,0.3165179,0.0004315095
58000,57476,252.389,-20.76,0.2430079,0.0003354193
60000,59439,249.248,-23.90,0.1859846,0.0002599465
62000,61401,245.408,-27.74,0.1418451,0.0002013559
64000,63362,241.290,-31.86,0.1077094,0.0001555081
66000,65322,237.174,-35.98,0.08141625,0.0001195864
68000,67280,233.061,-40.09,0.06125179,0.00009155594
70000,69238,228.951,-44.20,0.04585691,0.00006977505
72000,71194,224.843,-48.31,0.03415810,0.00005292389
74000,73148,220.738,-52.41,0.02531081,0.00003994538
76000,75102,216.636,-56.51,0.01865337,0.00002999616
78000,77055,212.536,-60.61,0.01366971,0.00002240608
80000,79006,208.438,-64.71,0.009959045,0.00001664481
