altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,276.650,3.50,1012.000,1.274348
1000,1002,272.541,-0.61,893.3562,1.141908
2000,2004,268.433,-4.72,787.1607,1.021565
3000,3006,264.326,-8.82,692.2646,0.9123690
4000,4007,260.204,-12.95,607.6103,0.8134851
5000,5008,253.792,-19.35,531.9028,0.7301017
6000,6009,247.393,-25.76,464.0669,0.6534791
7000,7009,240.990,-32.16,403.4539,0.5832202
8000,8009,234.590,-38.56,349.4542,0.5189427
9000,9009,228.255,-44.89,301.4951,0.4601494
10000,10009,228.754,-44.40,259.6485,0.3954163
12000,12007,229.753,-43.40,192.7883,0.2923190
14000,14003,230.752,-42.40,143.3564,0.2164265
16000,15999,231.500,-41.65,106.7467,0.1606357
18000,17993,231.998,-41.15,79.55759,0.1194634
20000,19986,232.496,-40.65,59.34204,0.08891688
22000,21978,232.994,-40.16,44.29914,0.06623505
24000,23968,234.460,-38.69,33.10591,0.04918973
26000,25957,236.947,-36.20,24.81345,0.03648166
28000,27945,239.432,-33.72,18.65749,0.02714623
30000,29932,241.915,-31.23,14.07258,0.02026510
32000,31918,244.397,-28.75,10.64684,0.01517619
34000,33902,249.635,-23.50,8.091035,0.01129110
36000,35885,254.989,-18.16,6.185713,0.008450952
38000,37867,260.340,-12.81,4.756301,0.006364525
40000,39847,265.688,-7.46,3.677391,0.004821766
42000,41827,271.032,-2.12,2.858277,0.003673853
44000,43805,276.373,3.23,2.232914,0.002814586
46000,45782,279.600,6.45,1.752271,0.002183244
48000,47757,279.600,6.45,1.376464,0.001715006
50000,49732,279.600,6.45,1.081418,0.001347393
52000,51705,279.600,6.45,0.8497426,0.001058738
54000,53677,275.775,2.62,0.6671375,0.0008427486
56000,55648,269.370,-3.78,0.5211209,0.0006739484
58000,57617,262.970,-10.18,0.4047148,0.0005361442
60000,59585,256.573,-16.58,0.3124100,0.0004241823
62000,61552,248.759,-24.39,0.2395291,0.0003354420
64000,63518,239.716,-33.43,0.1819386,0.0002644025
66000,65483,230.679,-42.47,0.1367656,0.0002065412
68000,67446,221.647,-51.50,0.1016615,0.0001597834
70000,69408,212.622,-60.53,0.07465535,0.0001223184
72000,71369,203.601,-69.55,0.05410490,0.00009257517
74000,73329,195.113,-78.04,0.03865461,0.00006901661
76000,75288,189.237,-83.91,0.02728861,0.00005023576
78000,77245,183.365,-89.78,0.01905855,0.00003620852
80000,79201,177.497,-95.65,0.01315907,0.00002582691
