n_train,n_test,train_time_s,MAE_T,RMSE_T,R2_T,MaxErr_T,MAPE_T,MAE_P,RMSE_P,R2_P,MaxErr_P,MAPE_P,MAE_rho,RMSE_rho,R2_rho,MaxErr_rho,MAPE_rho,MAE_a,RMSE_a,R2_a,MaxErr_a,MAPE_a,MAE_avg,RMSE_avg,R2_avg,MaxErr_avg,MAPE_avg,time_1point_us,time_1000points_ms,model_size_kb,physics_hydro,physics_gas,physics_sound,physics_total,smoothness_T,method,step
2001,2000,0.0,8.86757334228605e-15,2.1078103847843474e-14,1.0,5.684341886080802e-14,3.3937768704933077e-15,0.006968634170073529,0.00784298853613105,0.999999999999916,0.01441089465515688,2.4394667864954862e-05,7.164979220015272e-08,7.499454939961558e-08,0.9999999999999476,1.1302398583712403e-07,2.0434248204246294e-05,3.676618242423046e-07,4.995402604804234e-07,0.9999999999999989,8.298240459225781e-07,1.16322064808538e-07,0.0017422683704247097,0.001960890767740502,0.9999999999999656,0.003602959375811371,1.1236309534350868e-05,27.818000002298504,0.12811333290301263,141.212890625,8.95117896608272e-07,5.687334829208587e-08,2.451451003828613e-09,9.544426959041864e-07,3.2500000001313643e-07,Линейная интерполяция,10
2001,2000,0.0,7.036456414837744e-06,0.00016907277766800382,0.9999999999480857,0.005151043594253224,3.2474233445980866e-06,3.3473995745225693e-07,8.039845618642082e-06,1.0,0.0002449455605528783,1.4792768515275266e-09,1.1819485743781721e-08,2.8400011648242184e-07,0.9999999999992493,8.662780147994376e-06,3.2482771412709958e-06,4.791701139623683e-06,0.00011513554169499287,0.9999999999413985,0.003507920581455437,1.6238170981927508e-06,3.0436792494143666e-06,7.31330412745303e-05,0.9999999999721834,0.0022281431291023834,2.03024921522834e-06,3.8234000094234943,0.03307666629552841,265.9111328125,9.096934938952853e-07,3.835972025517817e-11,3.2236333244793152e-12,9.09735077248865e-07,3.4890607653025816e-07,Кубический сплайн,10
2001,2000,0.0,4.062500009183622e-06,0.0001816805231713749,0.9999999999400546,0.0081249999999784,1.8748629943082953e-06,3.3644112636466163e-07,1.0580344423892405e-05,1.0,0.0003345929435454309,1.488274905228307e-09,6.823993543556006e-09,2.1700010751357616e-07,0.9999999999995617,7.546724650697723e-06,1.8754349264755331e-06,2.7664900052286614e-06,0.000123721191767244,0.9999999999323328,0.005532979900976898,9.375018272365173e-07,1.7930637835801253e-06,7.904976486750623e-05,0.9999999999679873,0.0035000298922878564,1.1723220057313933e-06,5.30860002618283,0.04884333369166901,265.9169921875,9.021001388706054e-07,1.328864644212181e-08,1.1287667606683782e-12,9.153899140794879e-07,3.453125000130114e-07,PCHIP,10
2001,2000,0.0,0.15458998962697099,0.22191629445516153,0.9999105630156161,1.2336865562132004,0.0679300773075827,1.5627747695883527,1.9773053194687926,0.9999999946602254,5.706952254327916,0.007941796115664451,0.0002560024790221851,0.0003723969436227542,0.9999987091072522,0.002044402010243085,0.09256979792918014,0.10529215233700938,0.15112429432060157,0.9998990378662379,0.8400951602937994,0.03478480174822596,0.4557282285078388,0.5876795762970446,0.9999520761623328,1.94569459321129,0.050806618275163314,116.80959997465834,0.2474633336532861,0.6494140625,0.0004265664814455775,0.00025940178508087296,2.3045708785892964e-05,0.0007090139753123435,1.3871094272687403e-06,Полином 15-й степени,10
2001,2000,0.0,7.983347197178229,9.241564033249153,0.8448936002153995,17.667121787310208,3.4391514841170716,6929.0584224727545,8092.472708367751,0.9105587329675904,21238.979809474928,39.25862477701655,0.06293804242161487,0.07326196638101452,0.9500385438805908,0.18254167095897578,23.812983546633866,5.014706989205003,5.819738782426035,0.850274099958449,11.270352739944713,1.641607659828059,1735.5298536753896,2026.9018182874518,0.8889412442555074,5317.024956418286,17.038091866898885,39.823199971579015,0.07194333302322775,0.4814453125,0.5636913016019145,0.049626571525160444,0.001932075069221255,0.6152499481962962,5.791276746353045e-17,Линейная регрессия,10
2001,2000,0.0,3.134059632268282,3.984956732903388,0.9711606157095657,13.91542478076019,1.2915376605031201,5261.785543253139,6723.63064329894,0.938257650520438,24601.285708749245,22.547389387338715,0.05357704860694955,0.06840171376551986,0.9564476181969205,0.2473482001553743,14.761309510820148,1.8665168927074542,2.364302391877723,0.9752886773157567,8.21257759777825,0.597390293353017,1316.7099242066802,1682.5120760343718,0.9602886404356702,6155.915264831984,9.79940671300375,83.1377999857068,0.09090000045641015,0.6376953125,0.7565008411085375,0.026459757827735075,0.0011289522285608472,0.7840895511648335,1.816552095372259e-06,Полиномиальная регрессия (5),10
2001,2000,7.688318899978185,25.575928778252145,32.282167931165844,-0.8926231509217626,103.28635906183493,11.087198896584333,81.9449642413253,159.47137917700442,0.9999652671071623,1001.0318185288925,0.49666573583519974,0.7248466865000065,0.8743345624744574,-6.115955735191638,2.657851605141505,225.0590453872489,34.502079102416275,43.78515841796968,-7.475079862923131,141.90923406955648,11.329801121444422,35.68695470212343,59.1032600221536,-3.370923370482342,312.22131581635637,61.99317778527821,114.31659996742383,0.4068699995211015,112.15234375,1.040803172548042,1.4227776386522988,0.10710299595751381,2.5706838071578546,6.1439830543828755e-06,"MLP (50,25)",10
2001,2000,0.14195889999973588,0.01071036120048106,0.01492840531728008,0.9999995952698114,0.0373912499998994,0.004268488439651749,14.206661764439868,17.8886167860713,0.999999562952161,56.343958556477446,0.04228587284020667,0.00016756412168463382,0.00019782240480205538,0.9999996357253924,0.0005623305567150627,0.03800454562476452,0.006770425965519934,0.009441903049432888,0.9999996058976522,0.02535030499768709,0.002133867446057411,3.556077528931888,4.478296229210704,0.9999995999612542,14.101815610507938,0.021673193587670087,26586.02059999248,31.049090000063494,16061.5849609375,0.05090857518240956,1.5140738583212442e-07,6.916417052592299e-09,0.05090873350621244,1.4532788343260349e-05,Случайный лес,10
2001,2000,8.367167099990183,10.486294283752443,12.537726760902327,0.7145195549306476,24.315652465820307,4.615086227264198,202.65583461653384,363.01131996585065,0.9998200235040303,3360.011209486969,1.3054982988724833,0.018202232784847245,0.02100231221627197,0.9958940640937393,0.034322218640712554,4.823596193768824,6.840908264368315,8.236602700385621,0.7000932886975358,16.021748269408874,2.265401984237013,55.000309849359866,95.95166293483872,0.8525817328064882,850.0957331102097,3.2523956760356296,148.87920004548505,0.49042666602569324,38.029296875,0.0891467034816742,0.002166272606700659,0.0007829280802980065,0.09209590405225754,3.107260511114873e-07,PINN,10
801,3200,0.0,1.4122036873231992e-15,6.3353960300556655e-15,1.0,2.842170943040401e-14,6.096172563624788e-16,0.034843167910431135,0.0399915417578126,0.9999999999978157,0.08642303728265688,0.00012197337869088764,3.5824892778443895e-07,3.823985534218528e-07,0.9999999999986389,6.774315738922176e-07,0.00010217127404075764,1.8383090762341681e-06,2.5471653864815712e-06,0.9999999999999714,4.977451567356184e-06,5.816102964695984e-07,0.008711341117109143,0.00999861783043971,0.9999999999991065,0.021607173041456637,5.6181565757181124e-05,18.79719999851659,0.08826333408554396,56.8291015625,0.0003396327555364524,2.843665450138333e-07,1.225725475420168e-08,0.0003399293793362204,2.4826388917920517e-07,Линейная интерполяция,25
