method,10,25,50,100,200,500,1000
Линейная интерполяция,0.0011721858062375072,0.0013288735352106776,0.001379792845744212,0.0013481717500083451,0.001314747997835101,0.0013293121847865622,0.0015762334045589298
Кубический сплайн,0.0014264800174375058,0.0015566247831807474,0.0015943237472642667,0.0015507366608919495,0.0015151678875143272,0.0014840459915843845,0.0014614238958109995
PCHIP,0.0012437110003070424,0.001461742065511853,0.0015272496156293778,0.0014972535577294675,0.0014609001595980596,0.0014271029146335043,0.0014167417963549301
Полином 15-й степени,0.0004130287029635416,0.00046478617916103314,0.0005300876592383907,0.0006923010699798303,0.0006699188595464985,0.000995389460683196,0.0046133571234544596
Линейная регрессия,0.07326194481063975,0.07326206409583073,0.07326284643803464,0.07326721447799074,0.07328402489284092,0.07339856537915584,0.07381506051481597
Полиномиальная регрессия (5),0.06840163881738968,0.06840311081008227,0.06840583228005394,0.06842430414698888,0.06848482370550944,0.06890861276045557,0.07018133347284009
"MLP (50,25)",0.011610221953729943,0.019069617234974034,0.028064932794196987,0.03498897183413814,0.11136860395762961,0.11121946754210635,0.11602611074058428
Градиентный бустинг,0.0013289824094284504,0.0015882170838879069,0.0018931266059366199,0.0025142042638850158,0.004105950583134382,0.009450303547677287,0.018640976628565554
Случайный лес,0.0010458936997862498,0.0011983619557694911,0.0013042357685058093,0.0015718721967885169,0.00239726817521948,0.005821565061281343,0.014352567279272482
SVR (RBF),0.004499256111493955,0.0048256560806450265,0.0051143679941484995,0.005315357431440337,0.006336321543281394,0.0067319575371555095,0.006757410071424916
Гауссовский процесс,,,0.00035601253390262985,0.00048356603356070483,0.0006089047008256584,0.000988212095083399,0.0012000033769813995
PINN,0.013324403034870282,0.03637606034503405,0.004104034945430876,0.00437143276436533,0.003354625286048426,0.0026391427406893433,0.004548199571079738
