method,10,25,50,100,200,500,1000
Линейная интерполяция,141.736328125,57.34375,29.21875,15.14453125,8.11328125,3.859375,2.453125
Кубический сплайн,234.98828125,94.3544921875,47.470703125,24.025390625,12.306640625,5.263671875,2.919921875
PCHIP,234.994140625,94.3603515625,47.4765625,24.03125,12.3125,5.26953125,2.92578125
Полином 15-й степени,0.75390625,0.75390625,0.75390625,0.75390625,0.75390625,0.75390625,0.75390625
Линейная регрессия,0.8740234375,0.8740234375,0.8740234375,0.8740234375,0.8740234375,0.8740234375,0.8740234375
Полиномиальная регрессия (5),1.1240234375,1.1240234375,1.1240234375,1.1240234375,1.1240234375,1.1240234375,1.1240234375
"MLP (50,25)",316.78515625,279.2119140625,380.9638671875,380.9248046875,380.9248046875,380.9208984375,380.93359375
Градиентный бустинг,1843.3603515625,1581.6220703125,1544.20703125,1626.771484375,1770.630859375,1775.564453125,1488.513671875
Случайный лес,40970.5244140625,18562.5634765625,9375.9453125,4801.6318359375,2434.3330078125,1057.55859375,595.376953125
SVR (RBF),71.451171875,31.7490234375,18.6943359375,10.9306640625,6.9462890625,4.283203125,3.501953125
Гауссовский процесс,,,2882.7919921875,749.9599609375,210.8798828125,56.1396484375,32.7021484375
PINN,147.1806640625,147.1806640625,147.1806640625,147.1806640625,147.1806640625,147.1806640625,147.1806640625
