method,10,25,50,100,200,500,1000
Линейная интерполяция,0.4867760828018702,0.4843297410780043,0.4802174260930873,0.4718601920866552,0.45460697651421167,0.3983608108956656,0.2884131517567437
Кубический сплайн,0.7495377326820418,0.7495190410600383,0.7494864271009833,0.7494153805914252,-1106360835701.9417,-2.192928611179483e+24,-8.967851190759894e+27
PCHIP,0.641171012384708,0.639371947467956,0.636316374912752,0.6299857193278198,0.6164039950589761,0.5673482093646239,0.4504311557713204
Полином 15-й степени,-8.696863245055457e+36,-8.428942092411467e+36,-8.059325153677409e+36,-7.57408484930535e+36,-7.482682222626165e+36,-1.8718889209227898e+37,-1.532286548959349e+39
Линейная регрессия,-6.261860387779117e+28,-6.250031233832028e+28,-6.230439672822638e+28,-6.191714073549294e+28,-6.116045064683903e+28,-5.9023760962559896e+28,-5.5853592149194665e+28
Полиномиальная регрессия (5),-6.132266435053455e+29,-6.1225423536263634e+29,-6.1064278645390746e+29,-6.0746160746456224e+29,-6.013168905060541e+29,-5.854755851054832e+29,-2.224461826142498e+29
"MLP (50,25)",-4.901211097157075e+29,-5.7960814902925584e+29,-4.98660223818519e+29,-5.161394217522476e+29,-4.884974372384751e+29,-4.375858552664413e+29,-5.258687522537849e+29
Градиентный бустинг,-2.6202291766498423e+19,-3.192790733264179e+19,-1.4556055629993023e+19,-9633276404278910.0,-46279411003.94029,-48885983854.75279,-45111211237.69029
Случайный лес,-4.773019477410011,-9.279881319165968,-3.311222918410415,-3.373573711086103,-4.212999786868136,-4.533761228294374,-5.4958472218617525
SVR (RBF),-3.355629254922941e+28,-2.2085751764311945e+28,-1.4512311596512423e+28,-9.37967744271365e+27,-6.395308057036738e+27,-4.355102285912027e+27,-4.733731889760203e+27
Гауссовский процесс,,,-1.5881593384603085e+27,-1.2646881955427858e+27,-1.0847106987353582e+27,-4.92132941998907e+26,-4.078409080867566e+25
PINN,-1.9820653504105175e+29,-2.0048172027857678e+29,-2.013224815909457e+29,-1.999235922770448e+29,-1.987109100484558e+29,-2.0153202944447513e+29,-2.0040566308634433e+29
