n_train,n_test,train_time_s,MAE_T,RMSE_T,R2_T,MaxErr_T,MAPE_T,MAE_P,RMSE_P,R2_P,MaxErr_P,MAPE_P,MAE_rho,RMSE_rho,R2_rho,MaxErr_rho,MAPE_rho,MAE_a,RMSE_a,R2_a,MaxErr_a,MAPE_a,MAE_avg,RMSE_avg,R2_avg,time_1point_us,model_size_kb,physics_hydro,physics_gas,physics_sound,physics_total,method,step,mode
2001,2000,0.0,8.86757334228605e-15,2.1078103847843474e-14,1.0,5.684341886080802e-14,3.3937768704933077e-15,0.006968634170073529,0.00784298853613105,0.999999999999916,0.01441089465515688,2.4394667864954862e-05,7.164979220015272e-08,7.499454939961558e-08,0.9999999999999476,1.1302398583712403e-07,2.0434248204246294e-05,3.676618242423046e-07,4.995402604804234e-07,0.9999999999999989,8.298240459225781e-07,1.16322064808538e-07,0.0017422683704247097,0.001960890767740502,0.9999999999999656,29.600000008940697,188.611328125,8.95117896608272e-07,5.687334829208587e-08,2.451451003828613e-09,9.544426959041864e-07,Линейная интерполяция,10,interpolation
2001,2000,0.0,7.036456414837744e-06,0.00016907277766800382,0.9999999999480857,0.005151043594253224,3.2474233445980866e-06,3.3473995745225693e-07,8.039845618642082e-06,1.0,0.0002449455605528783,1.4792768515275266e-09,1.1819485743781721e-08,2.8400011648242184e-07,0.9999999999992493,8.662780147994376e-06,3.2482771412709958e-06,4.791701139623683e-06,0.00011513554169499287,0.9999999999413985,0.003507920581455437,1.6238170981927508e-06,3.0436792494143666e-06,7.31330412745303e-05,0.9999999999721834,6.653200020082295,313.130859375,9.096934938952853e-07,3.835972025517817e-11,3.2236333244793152e-12,9.09735077248865e-07,Кубический сплайн,10,interpolation
2001,2000,0.0,4.062500009183622e-06,0.0001816805231713749,0.9999999999400546,0.0081249999999784,1.8748629943082953e-06,3.3644112636466163e-07,1.0580344423892405e-05,1.0,0.0003345929435454309,1.488274905228307e-09,6.823993543556006e-09,2.1700010751357616e-07,0.9999999999995617,7.546724650697723e-06,1.8754349264755331e-06,2.7664900052286614e-06,0.000123721191767244,0.9999999999323328,0.005532979900976898,9.375018272365173e-07,1.7930637835801253e-06,7.904976486750623e-05,0.9999999999679873,5.396599997766316,313.13671875,9.021001388706054e-07,1.328864644212181e-08,1.1287667606683782e-12,9.153899140794879e-07,PCHIP,10,interpolation
2001,2000,0.0,0.15458998635512672,0.22191629332984,0.9999105630165231,1.233686684168532,0.06793007582016874,1.5627747967519507,1.977305331672181,0.9999999946602254,5.706950742980553,0.007941796498373234,0.000256002475144146,0.0003723969435676033,0.9999987091072526,0.0020444021493863374,0.09256979514147949,0.105292153480227,0.1511242935515606,0.9998990378672654,0.8400950938990945,0.03478480212320624,0.45572823476561214,0.5876795788742872,0.9999520761628167,29.296599968802184,0.75390625,0.000426566541119257,0.00025940178666963496,2.3045729611621662e-05,0.0007090140574005136,Полином 15-й степени,10,interpolation
2001,2000,0.0,7.9833471971781975,9.241564033249142,0.8448936002153999,17.66712178732061,3.439151484116913,6929.058422472744,8092.472708367751,0.9105587329675904,21238.979809475,39.258624777016635,0.06293804242161471,0.07326196638101452,0.9500385438805908,0.18254167095897644,23.81298354663393,5.014706989205028,5.819738782426033,0.8502740999584492,11.270352739946873,1.641607659828055,1735.5298536753871,2026.9018182874518,0.8889412442555076,43.915399990510195,0.8740234375,0.5636913016019155,0.04962657152518046,0.001932075069212072,0.6152499481963081,Линейная регрессия,10,interpolation
2001,2000,0.0,3.1340596322658985,3.9849567329033775,0.9711606157095658,13.91542478077082,1.2915376605021103,5261.785543253137,6723.63064329894,0.938257650520438,24601.28570874929,22.5473893873387,0.05357704860694972,0.06840171376551996,0.9564476181969204,0.24734820015537562,14.7613095108203,1.8665168927069702,2.3643023918777266,0.9752886773157567,8.212577597780353,0.5973902933528594,1316.7099242066793,1682.5120760343718,0.9602886404356702,101.59040003782138,1.1240234375,0.7565008411085405,0.026459757827743374,0.0011289522285600018,0.7840895511648439,Полиномиальная регрессия (5),10,interpolation
2001,2000,19.872546400001738,0.11499276698434854,0.15389979507168644,0.9999569855032233,0.7506067189661962,0.04832287125683866,162.1831989720677,253.6631737436279,0.9999121199491077,1496.586879348557,0.4893212851696898,0.008003908052838732,0.011597731115813399,0.9987479432422265,0.04828909607540699,1.5963990625902387,0.4033301079827381,0.4937695974283344,0.9989221988555813,1.557289223762723,0.1291178607467441,40.6773814387719,63.58061021681093,0.9993848118875347,194.38559998525307,303.8505859375,0.06251183579336358,0.016456572094236902,0.0025163350809389294,0.08148474296853941,"MLP (50,25)",10,interpolation
2001,2000,1.419305900024483,0.030921414398981554,0.05220628951835651,0.9999950502368465,0.22146509738587383,0.012366172452341203,59.335624989643684,79.24065865122715,0.9999914242599228,296.0694809248671,0.23326618047192393,0.000730406873119536,0.000949345580703344,0.9999916106828809,0.0035095663247387554,0.20583708976080725,0.019384636260682413,0.032518420527424804,0.9999953253528548,0.12961287158185542,0.006111544183327135,14.846665361794116,19.83158317671341,0.9999933526331262,195.2824000036344,1855.1728515625,0.8171007796688462,0.0020994847240762837,0.00015062242021881327,0.8193508868131413,Градиентный бустинг,10,interpolation
2001,2000,0.5914100999943912,0.010735425923345844,0.014917755693003429,0.9999995958470582,0.03458000000011907,0.004285878890562834,14.206661764439858,17.888616786071317,0.999999562952161,56.343958556477446,0.0422858728402066,0.00016775149697555609,0.000197945571717074,0.9999996352716465,0.0005358715008221271,0.0378324468035635,0.006560596251297739,0.009153856068609375,0.9999996295768611,0.022476004079123868,0.002071171737857345,3.556031384527869,4.478221585851162,0.9999996059119317,27689.367999962997,42881.3369140625,0.050907283819812195,3.685349299507587e-05,2.835616944860686e-06,0.050946972929752136,Случайный лес,10,interpolation
2001,2000,4.1627202999952715,0.1706735880727868,0.40198707496277264,0.9997065305200841,2.2865109125172296,0.07726462126351286,3240.277788271668,7731.473954033493,0.9183605537479164,34848.996417429255,8.350155702299721,0.006488610350249385,0.007217366053620065,0.9995151187280159,0.01056301606628074,2.2867184186557545,0.11310352431975473,0.26582421533056516,0.9996876230143128,1.5260207098643264,0.03793398003990639,810.1420134986028,1933.03724567246,0.9793174565025823,239.94420003145933,103.3271484375,0.42844961992663855,0.10591419120755337,4.8609060694732025e-05,0.5344124201948867,SVR (RBF),10,interpolation
