latitude_deg,season,H_geopotential_km,temperature_K,gradient_K_per_km
80,Dec-Jan,1.0,253.05,4.1
80,Dec-Jan,3.0,247.45,-2.8
80,Dec-Jan,8.0,214.95,-6.5
80,Dec-Jan,20.0,202.35,-1.05
80,Dec-Jan,22.5,202.35,0.0
80,Dec-Jan,32.5,222.35,2.0
80,Dec-Jan,48.0,247.15,1.6
80,Dec-Jan,53.0,247.15,0.0
80,Dec-Jan,80.0,217.45,-1.1
80,Jun-Jul,4.0,260.25,-4.1
80,Jun-Jul,9.0,228.25,-6.4
80,Jun-Jul,15.0,231.25,0.5
80,Jun-Jul,23.0,233.25,0.25
80,Jun-Jul,32.0,244.50,1.25
80,Jun-Jul,45.0,279.60,2.7
80,Jun-Jul,52.5,279.60,0.0
80,Jun-Jul,60.5,253.60,-3.25
80,Jun-Jul,73.0,196.10,-4.6
80,Jun-Jul,80.0,175.10,-3.0
