latitude_deg,season,H_geopotential_km,temperature_K,gradient_K_per_km
60,Dec-Jan,1.0,258.15,2.0
60,Dec-Jan,3.0,250.15,4.0
60,Dec-Jan,9.0,217.15,-5.5
60,Dec-Jan,15.0,217.15,0.0
60,Dec-Jan,25.0,212.15,-0.5
60,Dec-Jan,35.0,219.15,0.7
60,Dec-Jan,49.0,251.35,2.3
60,Dec-Jan,51.0,251.35,0.0
60,Dec-Jan,80.0,222.35,-1.0
60,Jun-Jul,5.0,261.15,-4.2
60,Jun-Jul,10.0,226.15,-7.0
60,Jun-Jul,23.0,226.15,0.0
60,Jun-Jul,32.0,239.65,1.5
60,Jun-Jul,46.0,281.65,3.0
60,Jun-Jul,51.0,281.65,0.0
60,Jun-Jul,60.0,260.95,-2.3
60,Jun-Jul,80.0,164.95,-4.8
